A: 0x0159, D: 0x00, D: 0, D: ?
A: 0x015a, D: 0xff, D: 255, D: ?
A: 0x015b, D: 0x00, D: 0, D: ?
A: 0x015c, D: 0xff, D: 255, D: ?
A: 0x015d, D: 0x00, D: 0, D: ?
A: 0x015e, D: 0xff, D: 255, D: ?
A: 0x015f, D: 0x00, D: 0, D: ?
A: 0x0160, D: 0xff, D: 255, D: ?
A: 0x0161, D: 0x00, D: 0, D: ?
A: 0x0162, D: 0xff, D: 255, D: ?
A: 0x0163, D: 0x00, D: 0, D: ?
A: 0x0164, D: 0xff, D: 255, D: ?
A: 0x0165, D: 0x00, D: 0, D: ?
A: 0x0166, D: 0xff, D: 255, D: ?
A: 0x0167, D: 0x00, D: 0, D: ?
A: 0x0168, D: 0xff, D: 255, D: ?
A: 0x0169, D: 0x00, D: 0, D: ?
A: 0x016a, D: 0xff, D: 255, D: ?
A: 0x016b, D: 0x00, D: 0, D: ?
A: 0x016c, D: 0xff, D: 255, D: ?
A: 0x016d, D: 0x00, D: 0, D: ?
A: 0x016e, D: 0xff, D: 255, D: ?
A: 0x016f, D: 0x00, D: 0, D: ?
A: 0x0170, D: 0xff, D: 255, D: ?
A: 0x0171, D: 0x00, D: 0, D: ?
A: 0x0172, D: 0xff, D: 255, D: ?
A: 0x0173, D: 0x00, D: 0, D: ?
A: 0x0174, D: 0xff, D: 255, D: ?
A: 0x0175, D: 0x00, D: 0, D: ?
A: 0x0176, D: 0xff, D: 255, D: ?
A: 0x0177, D: 0x00, D: 0, D: ?
A: 0x0178, D: 0xff, D: 255, D: ?
A: 0x0179, D: 0x00, D: 0, D: ?
A: 0x017a, D: 0xff, D: 255, D: ?
A: 0x017b, D: 0x00, D: 0, D: ?
A: 0x017c, D: 0xff, D: 255, D: ?
A: 0x017d, D: 0x00, D: 0, D: ?
A: 0x017e, D: 0xff, D: 255, D: ?
A: 0x017f, D: 0x00, D: 0, D: ?
A: 0x0180, D: 0xff, D: 255, D: ?
A: 0x0181, D: 0x00, D: 0, D: ?
A: 0x0182, D: 0xff, D: 255, D: ?
A: 0x0183, D: 0x00, D: 0, D: ?
A: 0x0184, D: 0xff, D: 255, D: ?
A: 0x0185, D: 0x00, D: 0, D: ?
A: 0x0186, D: 0xff, D: 255, D: ?
A: 0x0187, D: 0x00, D: 0, D: ?
A: 0x0188, D: 0xff, D: 255, D: ?
A: 0x0189, D: 0x00, D: 0, D: ?
A: 0x018a, D: 0xff, D: 255, D: ?
A: 0x018b, D: 0x00, D: 0, D: ?
A: 0x018c, D: 0xff, D: 255, D: ?
A: 0x018d, D: 0x00, D: 0, D: ?
A: 0x018e, D: 0xff, D: 255, D: ?
A: 0x018f, D: 0x00, D: 0, D: ?
A: 0x0190, D: 0xff, D: 255, D: ?
A: 0x0191, D: 0x00, D: 0, D: ?
A: 0x0192, D: 0xff, D: 255, D: ?
A: 0x0193, D: 0x00, D: 0, D: ?
A: 0x0194, D: 0xff, D: 255, D: ?
A: 0x0195, D: 0x00, D: 0, D: ?
A: 0x0196, D: 0xff, D: 255, D: ?
A: 0x0197, D: 0x00, D: 0, D: ?
A: 0x0198, D: 0xff, D: 255, D: ?
A: 0x0199, D: 0x00, D: 0, D: ?
A: 0x019a, D: 0xff, D: 255, D: ?
